	B6donor	SC7286	SC7287	SC7288	SC7289	SC7290	SC7291	SC7292	SC7293	SC7294	SC7295	SC7296	SC7297	SC7298	SC7299	SC7476	SC7477	SC7478	SC7479	SC7480	SC7481	SC7482	SC7483	SC7484	SC7485	SC7486	SC7487	SC7488	SC7489	SC7490	SC7491	SC7492	SC7493	SC7494	SC7495	SC7496	SC7497	SC7498	SC7499	SC7576	SC7577	SC7578
SC7295	0.699967676612	0.668788585267	0.696535426482	0.701206161594	0.664000759125	0.668894069322	0.696231251417	0.706103396425	0.667097326474	0.706214526714	0.0	0.600024522596	0.575424354493	0.601847836693	0.577656180685	0.600197535465	0.595708926369	0.595860473711	0.683878763197	0.73917262613	0.737193107253	0.738909248811	0.73054210339	0.722157138412	0.737485238037	0.713507839628	0.71132698509	0.675951499809	0.668780800912	0.69730872787	0.697617862328	0.728608750411	0.748724016441	0.723036703632	0.688769840608	0.701405627837	0.714806069646	0.699655422151	0.595021467564	0.611018711242	0.590627109927	0.639846956448
SC7296	0.666955711095	0.632403176675	0.666839298942	0.676638692591	0.6482281645	0.649859622798	0.661047428727	0.659261240183	0.655881602785	0.674592660607	0.600024522596	0.0	0.554605202276	0.571596795057	0.603491982889	0.608927986969	0.597551500778	0.62327429028	0.637428681958	0.702057335391	0.694147954196	0.695679573839	0.710179033084	0.690419679106	0.702775476796	0.676469017049	0.688095670449	0.658315638096	0.633905483396	0.65672778824	0.6491234617	0.693295893457	0.713110474244	0.679783620335	0.653328587445	0.653353512552	0.679866125511	0.651124219438	0.578694908559	0.599847022623	0.583209829756	0.624120068988
SC7297	0.648653909624	0.633352370848	0.657896607105	0.674300927691	0.646574863454	0.636906101896	0.662006789722	0.662855630752	0.640032112921	0.667934253526	0.575424354493	0.554605202276	0.0	0.557172161666	0.583335827469	0.595313533864	0.576953464108	0.586825728192	0.64463945904	0.705125342085	0.698500127389	0.699365066161	0.711462639221	0.691354010481	0.710344671967	0.673772346432	0.69220744088	0.653228633435	0.637185494476	0.656861449274	0.65392529107	0.695161351489	0.708641080308	0.680793023075	0.652264368264	0.657486417296	0.675430918703	0.648367663666	0.569438720873	0.577967425042	0.566687651364	0.615674833948
SC7298	0.639859092477	0.635151471816	0.646705589743	0.663795579555	0.64361612007	0.64007676547	0.64775910282	0.657106802619	0.637150065103	0.662508041123	0.601847836693	0.571596795057	0.557172161666	0.0	0.589914673982	0.61249804304	0.584148257348	0.615113507359	0.63312504974	0.696271850438	0.689251202062	0.678847456228	0.703317528427	0.687847844012	0.693770585484	0.659283900992	0.689656104481	0.641455929555	0.627255974091	0.64463231368	0.655250208447	0.696279953619	0.699741217915	0.66106651672	0.63436823389	0.638511767524	0.651597759679	0.642779123911	0.564496049056	0.573572696639	0.580500504068	0.605467844309
SC7299	0.671970417631	0.640560704318	0.666381033706	0.669704581073	0.634330607041	0.638928058733	0.66953157594	0.66900946424	0.640072467461	0.682943111993	0.577656180685	0.603491982889	0.583335827469	0.589914673982	0.0	0.569880400739	0.568757214398	0.572756007091	0.658101960973	0.717615334868	0.718781694577	0.71239483978	0.70599602848	0.689430159303	0.702585328212	0.674144269798	0.675224202983	0.634614359367	0.64676557326	0.65707613715	0.67281427378	0.709670808747	0.728763752163	0.703484631873	0.664709136191	0.668597167412	0.686695373919	0.666391153301	0.594513125777	0.59490381479	0.604721567608	0.636452508964
SC7476	0.667220907921	0.632573652894	0.632597344949	0.644681928847	0.612531482686	0.607131188706	0.644482380482	0.647815310271	0.627627156694	0.65230745084	0.600197535465	0.608927986969	0.595313533864	0.61249804304	0.569880400739	0.0	0.585702797995	0.586278837579	0.655321573732	0.689530456034	0.694046390256	0.703868262079	0.694291128425	0.670694661767	0.700381734639	0.659489114574	0.672185771475	0.630444782068	0.635937022653	0.643948552247	0.656472564655	0.673963785839	0.709967100123	0.696217474807	0.654330042376	0.653157499353	0.682326867659	0.64885387498	0.611024159523	0.616426004588	0.620030724598	0.631337383834
SC7477	0.66530552283	0.627670126531	0.664225052321	0.666189878848	0.632108722348	0.641203344456	0.661091797588	0.655551971781	0.657726797598	0.679290857413	0.595708926369	0.597551500778	0.576953464108	0.584148257348	0.568757214398	0.585702797995	0.0	0.594745679637	0.651462831977	0.718532425904	0.718035094536	0.693253547606	0.698747323659	0.669104356496	0.681868506661	0.66323235241	0.678384307025	0.637053046497	0.640937462651	0.6419684835	0.657186324441	0.709353588051	0.711828946871	0.696383305099	0.64293408029	0.650295278488	0.680824097804	0.643801609833	0.588581383863	0.59252905494	0.591481858168	0.635217681039
SC7478	0.680175843447	0.653677935519	0.668072017554	0.668792422451	0.640083889416	0.653981062263	0.684526694939	0.687153070516	0.643780035411	0.682451668986	0.595860473711	0.62327429028	0.586825728192	0.615113507359	0.572756007091	0.586278837579	0.594745679637	0.0	0.67384822603	0.720012299419	0.720653733938	0.723604529542	0.709386550821	0.698048652118	0.718813854765	0.691009385335	0.698488357456	0.65615099589	0.657877751573	0.67045416742	0.69444968796	0.714097065966	0.725796498852	0.723855577726	0.682178618968	0.682240210187	0.713077306502	0.682467420799	0.597388846946	0.609399722404	0.613860332461	0.6239450581
SC7479	0.607999641918	0.598947907693	0.612648852732	0.642748815403	0.604596632162	0.613769594916	0.60737300442	0.632840289191	0.627035013433	0.609528050715	0.683878763197	0.637428681958	0.64463945904	0.63312504974	0.658101960973	0.655321573732	0.651462831977	0.67384822603	0.0	0.61519694024	0.594356888255	0.657645291322	0.682613897092	0.677311977854	0.685731582782	0.652138160265	0.695705206939	0.6492971222	0.655946870115	0.639656324063	0.581357733544	0.623087549712	0.610178169593	0.610029605491	0.637953308053	0.6066337055	0.623268635321	0.598068688684	0.642002855596	0.642607642968	0.666452012403	0.65300212873
SC7480	0.65365199853	0.65171838378	0.611785393997	0.656013843861	0.640744835036	0.62654886156	0.600240061187	0.657007445269	0.635326630419	0.601341007626	0.73917262613	0.702057335391	0.705125342085	0.696271850438	0.717615334868	0.689530456034	0.718532425904	0.720012299419	0.61519694024	0.0	0.584771362087	0.656839663033	0.689496184137	0.700654370184	0.719939966033	0.674330618813	0.707027893467	0.667867076179	0.685335857206	0.674152491327	0.627819108744	0.628590686401	0.594033619949	0.644115046981	0.679196218285	0.640459269182	0.659813149837	0.655179359567	0.693240408115	0.695027461915	0.728962701944	0.685405837945
