	B6donor	SC7286	SC7287	SC7288	SC7289	SC7290	SC7291	SC7292	SC7293	SC7294	SC7295	SC7296	SC7297	SC7298	SC7299	SC7476	SC7477	SC7478	SC7479	SC7480	SC7481	SC7482	SC7483	SC7484	SC7485	SC7486	SC7487	SC7488	SC7489	SC7490	SC7491	SC7492	SC7493	SC7494	SC7495	SC7496	SC7497	SC7498	SC7499	SC7576	SC7577	SC7578
SC7295	0.417364892659	0.327576632068	0.389801199918	0.350195185201	0.344005948725	0.348618901001	0.385823533118	0.3261447906	0.351883269017	0.430913928278	0.0	0.248402760972	0.154854629704	0.191296637304	0.190185793888	0.206694422624	0.229231547196	0.218287842122	0.413133548726	0.511216099703	0.470978436496	0.447739575001	0.487896812549	0.513411661386	0.524366580691	0.439235145835	0.464957580828	0.3676923399	0.324250155759	0.330525951034	0.383674050465	0.454185226916	0.50490088652	0.350620066495	0.282602946558	0.365680899107	0.35670793775	0.370535577008	0.187867110834	0.1865243191	0.171695339751	0.329444256789
SC7296	0.412991723901	0.324844203134	0.392819681047	0.350980074666	0.358249753726	0.353038429064	0.379739960979	0.320239437526	0.375401017902	0.424407790311	0.248402760972	0.0	0.12594802712	0.10195001414	0.256490317845	0.276414268171	0.17612297984	0.350080111178	0.4195737833	0.528404602667	0.47970567443	0.414778689687	0.433638663402	0.429277977141	0.432448801415	0.344543322477	0.386145813879	0.3271401373	0.250372510485	0.299434201046	0.363289688789	0.462331288377	0.515025841904	0.353847762761	0.268010829936	0.375100757703	0.342938254061	0.343792216943	0.151600271096	0.152627312849	0.163634885507	0.326084490415
SC7297	0.404277018739	0.317886622367	0.389704473346	0.341600694584	0.347286491176	0.347212757279	0.380091543219	0.321271150066	0.37024135317	0.424075469565	0.154854629704	0.12594802712	0.0	0.0944849463972	0.224691058669	0.246300714075	0.177766192324	0.297493963882	0.420006667092	0.527616922706	0.481612120273	0.413809333865	0.432203924043	0.44792451556	0.456037886883	0.355113740044	0.403444313733	0.322362050097	0.259888998433	0.295825474163	0.364332983367	0.465040759304	0.51640777862	0.356466530667	0.268176841324	0.372629872372	0.341524580461	0.339696051877	0.104336250783	0.122921068005	0.0851048946209	0.306788090883
SC7298	0.375734516516	0.285873864306	0.355519030604	0.312253045897	0.315347650776	0.31413965193	0.339326636639	0.284425673626	0.33622468746	0.391581302865	0.191296637304	0.10195001414	0.0944849463972	0.0	0.198758119796	0.228488991552	0.129935032138	0.292182709398	0.384539489486	0.491556473133	0.44939863245	0.384862369134	0.413202999564	0.43089415007	0.439967569159	0.33263077907	0.386712051734	0.305386114889	0.22903673373	0.265551409439	0.327077076087	0.429708551992	0.478262997639	0.317336711659	0.240322288362	0.33792842172	0.306695073089	0.311229837522	0.123496278662	0.127769894798	0.125091770726	0.292394834096
SC7299	0.376772719132	0.226618218639	0.301636222469	0.263373683407	0.241420809528	0.294117949049	0.341375723227	0.246667678625	0.254963179946	0.388721843763	0.190185793888	0.256490317845	0.224691058669	0.198758119796	0.0	0.1000552091	0.162428525449	0.142526102215	0.340063106926	0.443330162592	0.432692172824	0.362767260931	0.433252904087	0.431658054302	0.460686901228	0.382133701297	0.404797331507	0.28721792711	0.263428595164	0.247388316696	0.28831676546	0.390214299753	0.419522528216	0.305819544518	0.192563526127	0.30502635498	0.290809949598	0.278108487023	0.200692942515	0.184216653058	0.216189327781	0.254187654959
SC7476	0.318280897377	0.186123511845	0.24235234404	0.218078577606	0.199764108298	0.235449215053	0.285819606795	0.206838523663	0.199701125054	0.33158031695	0.206694422624	0.276414268171	0.246300714075	0.228488991552	0.1000552091	0.0	0.232195806974	0.116317899959	0.296250189468	0.384868024166	0.378518572996	0.356982450722	0.426445653402	0.438591715999	0.469412792998	0.388350661409	0.405304370402	0.278762236344	0.276089093089	0.241107269681	0.247575014834	0.337010429231	0.371484949687	0.258602370935	0.191301408697	0.257483833072	0.245190324791	0.256213143087	0.234896489658	0.218143543866	0.280308819894	0.234760396067
SC7477	0.434525623707	0.306232986599	0.379390637297	0.329608327109	0.317173939246	0.355360786643	0.391929016698	0.298056571017	0.361951922655	0.442925264831	0.229231547196	0.17612297984	0.177766192324	0.129935032138	0.162428525449	0.232195806974	0.0	0.280885928519	0.417307997323	0.523897324759	0.488074024058	0.387640866982	0.392979497136	0.377206498894	0.398093880457	0.309860954661	0.361379373708	0.30028377843	0.223968461818	0.262835220004	0.361656063215	0.462240428501	0.514305302357	0.354490910528	0.254585623149	0.361314205463	0.337241961233	0.306597616395	0.144231695308	0.174259567421	0.146835351142	0.304136210938
SC7478	0.333751097443	0.232595639796	0.271973484475	0.245854350577	0.231928109869	0.260905441193	0.307634945566	0.263155723675	0.212304852166	0.351120763684	0.218287842122	0.350080111178	0.297493963882	0.292182709398	0.142526102215	0.116317899959	0.280885928519	0.0	0.30862845408	0.39270920634	0.388020991573	0.402488215483	0.493591864213	0.512301389192	0.539593629647	0.45141108565	0.462236744912	0.332674442251	0.347861396167	0.300826985177	0.280043510766	0.350136172309	0.374872049164	0.299815460006	0.28039389844	0.271588408169	0.295674445293	0.315210244939	0.295049993568	0.281735441846	0.303773812314	0.26463286671
SC7479	0.15403096686	0.17944495745	0.175943626977	0.214774726968	0.19820728961	0.199804734871	0.167722974125	0.215683482043	0.197243418244	0.177537175623	0.413133548726	0.4195737833	0.420006667092	0.384539489486	0.340063106926	0.296250189468	0.417307997323	0.30862845408	0.0	0.165545824288	0.153614525716	0.319784355607	0.45311315988	0.506682519138	0.517320373407	0.439465831787	0.477759701248	0.356208861985	0.384235646405	0.312175464514	0.161504544736	0.161047258696	0.126983014816	0.16956712149	0.266603726384	0.137514073578	0.197261178982	0.220881476849	0.389263321614	0.371275312926	0.455038544968	0.314753459584
SC7480	0.234966511882	0.309128746488	0.219027696975	0.262688167148	0.298813634466	0.284551900881	0.233980518724	0.295595244064	0.262753736269	0.191854731548	0.511216099703	0.528404602667	0.527616922706	0.491556473133	0.443330162592	0.384868024166	0.523897324759	0.39270920634	0.165545824288	0.0	0.0935504452358	0.349576435943	0.512878383368	0.564863618769	0.592601115717	0.508953984936	0.535312587351	0.426904762001	0.479764616454	0.399054357029	0.25217658136	0.136522220504	0.146577849803	0.235987395899	0.368411530971	0.200672136011	0.285068669752	0.301700060628	0.490238801288	0.475993437993	0.56682609354	0.388656854098
SC7481	0.222862408448	0.274405585874	0.215537281735	0.257864779216	0.274225413258	0.242924189724	0.191085017666	0.267011071934	0.261360018447	0.166952146265	0.470978436496	0.47970567443	0.481612120273	0.44939863245	0.432692172824	0.378518572996	0.488074024058	0.388020991573	0.153614525716	0.0935504452358	0.0	0.343887066042	0.476441218386	0.549400654277	0.550649664844	0.471413446061	0.500855433119	0.408195393636	0.445418528458	0.356800435257	0.221402544226	0.098745939991	0.149595206053	0.210882740455	0.343639809304	0.173225663338	0.244777314596	0.258209382184	0.45228159325	0.448854191688	0.51744901368	0.367721781784
SC7482	0.337575499764	0.298055984957	0.257022207639	0.220794642648	0.278952441821	0.282366146185	0.247447471195	0.22291402345	0.316800668937	0.274607352373	0.447739575001	0.414778689687	0.413809333865	0.384862369134	0.362767260931	0.356982450722	0.387640866982	0.402488215483	0.319784355607	0.349576435943	0.343887066042	0.0	0.259462722169	0.32781133098	0.338356750752	0.244846595971	0.286808899387	0.171336839956	0.244675173801	0.201857366895	0.240372906907	0.322254010082	0.35814425221	0.270557698894	0.272221346651	0.256863351964	0.236753053689	0.209779798152	0.376183833991	0.389792272452	0.425268852996	0.234653025374
SC7483	0.481082161707	0.417254067075	0.395774852583	0.351329356209	0.352350179481	0.365441365186	0.387960089026	0.347871436865	0.454415201917	0.433433061827	0.487896812549	0.433638663402	0.432203924043	0.413202999564	0.433252904087	0.426445653402	0.392979497136	0.493591864213	0.45311315988	0.512878383368	0.476441218386	0.259462722169	0.0	0.14470380257	0.136290981462	0.152579997264	0.128260359031	0.249196939025	0.25347065799	0.267740407851	0.367198571777	0.442363109172	0.476006250176	0.387272666501	0.350784565779	0.390788991302	0.356638042163	0.320274988704	0.397094273834	0.410328341069	0.450439113283	0.350228438544
SC7484	0.54682843083	0.439308463942	0.431086740602	0.411439111046	0.399039126854	0.437862216648	0.461438850035	0.385290369552	0.473710025569	0.503324870532	0.513411661386	0.429277977141	0.44792451556	0.43089415007	0.431658054302	0.438591715999	0.377206498894	0.512301389192	0.506682519138	0.564863618769	0.549400654277	0.32781133098	0.14470380257	0.0	0.0626786971839	0.16395214474	0.120668650461	0.282904932849	0.288658744542	0.322618435127	0.392686264363	0.507322466004	0.544822472959	0.432792588546	0.378278152721	0.434184069018	0.406276309689	0.333170798428	0.395081136003	0.41176732901	0.462474960055	0.396401432989
SC7485	0.554368683003	0.457359028425	0.463013662687	0.424161942939	0.415864529048	0.439595244239	0.461342526663	0.397418434708	0.503104110596	0.514384164706	0.524366580691	0.432448801415	0.456037886883	0.439967569159	0.460686901228	0.469412792998	0.398093880457	0.539593629647	0.517320373407	0.592601115717	0.550649664844	0.338356750752	0.136290981462	0.0626786971839	0.0	0.166365655722	0.11708432134	0.295747977716	0.29218535405	0.316849931564	0.409493663015	0.517268468049	0.552838056389	0.442568769436	0.38992762713	0.452495830413	0.410447819866	0.349745425554	0.412008994297	0.427596930198	0.467501761607	0.408256085533
SC7486	0.457750319717	0.3824174708	0.377031601894	0.339183501559	0.331662811438	0.345257379899	0.363719239239	0.322161446014	0.416951456648	0.412380843773	0.439235145835	0.344543322477	0.355113740044	0.33263077907	0.382133701297	0.388350661409	0.309860954661	0.45141108565	0.439465831787	0.508953984936	0.471413446061	0.244846595971	0.152579997264	0.16395214474	0.166365655722	0.0	0.0952119799326	0.208183810253	0.162164281732	0.212138026739	0.328621343992	0.434073272476	0.472089904527	0.368246263946	0.314668250624	0.370045398151	0.333895838043	0.277092572991	0.32359880503	0.348455782466	0.371493610184	0.309678240694
SC7487	0.493303058771	0.415566907531	0.410266371395	0.37202265768	0.361566630225	0.367962094653	0.397609074127	0.354370276616	0.443235589078	0.449195479165	0.464957580828	0.386145813879	0.403444313733	0.386712051734	0.404797331507	0.405304370402	0.361379373708	0.462236744912	0.477759701248	0.535312587351	0.500855433119	0.286808899387	0.128260359031	0.120668650461	0.11708432134	0.0952119799326	0.0	0.227419797523	0.210603123657	0.253512027374	0.369224982832	0.467091883539	0.505139761216	0.408806578031	0.350094424024	0.400280687343	0.373283804239	0.313805548453	0.365076435562	0.38047570367	0.417995746061	0.33747342012
SC7488	0.341874768544	0.276227693873	0.257290350687	0.213936518002	0.236415306228	0.238475111197	0.274546939003	0.224311300948	0.299987810761	0.309454842213	0.3676923399	0.3271401373	0.322362050097	0.305386114889	0.28721792711	0.278762236344	0.30028377843	0.332674442251	0.356208861985	0.426904762001	0.408195393636	0.171336839956	0.249196939025	0.282904932849	0.295747977716	0.208183810253	0.227419797523	0.0	0.146056252829	0.126726781732	0.288013985054	0.376726025392	0.435781436465	0.322052047676	0.232533454609	0.292452607439	0.266767747641	0.234297918139	0.290453039958	0.302581409175	0.3371296879	0.20261887182
SC7489	0.378399290814	0.296646436513	0.326190617482	0.259101080147	0.26353479727	0.275997762579	0.317005853856	0.237035638943	0.338596464509	0.363806281636	0.324250155759	0.250372510485	0.259888998433	0.22903673373	0.263428595164	0.276089093089	0.223968461818	0.347861396167	0.384235646405	0.479764616454	0.445418528458	0.244675173801	0.25347065799	0.288658744542	0.29218535405	0.162164281732	0.210603123657	0.146056252829	0.0	0.128338745902	0.31198818568	0.419133057046	0.464649341097	0.325536971509	0.217402712608	0.326848315606	0.289271478486	0.263001273977	0.230498977512	0.241634192265	0.269627256243	0.219168905638
