	SC7493	SC7090	SC7285	SC7278	SC7494	SC7483	SC7288	SC7492	SC7482	SC7276	SC7291	SC7489	SC7289	SC7480	SC7290	SC7485	SC7277	SC7283	SC7294	SC7481	SC7281	SC7280	SC7293	SC7282	SC7477	SC7295	SC7484	B6donor	SC7279	SC1995	SC7496	SC1900	SC7292	SC7478	SC1993	SC7299	SC7576	SC7499	SC7287	SC7495	SC7296	SC7297	SC7498	SC7578	SC7490	SC7298	SC7491	SC7479	SC7488	SC7286	SC7497	SC7577	SC7476	SC7486	SC7487
SC7291	0.150485836895	0.468159004659	0.187073049203	0.306278120596	0.14657251498	0.190779601796	0.422027086173	0.512495529749	0.224047572415	0.396782434835	0.0	0.422322699601	0.133921256545	0.365448652287	0.138120912823	0.375499940781	0.208227295952	0.139213042886	0.219183976778	0.24384548364	0.191804900724	0.181159999304	0.0828245337662	0.196305876998	0.389765185341	0.20288269151	0.152910198547	0.316219681038	0.194657781228	0.288572143534	0.100031503451	0.457711987919	0.251134522964	0.435500230622	0.440558346394	0.295758873159	0.0841825800236	0.192013071214	0.393134282378	0.171833691154	0.087822033099	0.271129691173	0.142643325823	0.21988436356	0.492802326742	0.393148816911	0.452758149695	0.455547234587	0.412427891485	0.550298309505	0.149377742851	0.250043899167	0.390997773281	0.471830126376	0.347346751809
SC7489	0.495156414066	0.131857791918	0.329639986359	0.666577507081	0.395368122157	0.581332564073	0.0723736966641	0.196788089484	0.607281655718	0.068093094832	0.422322699601	0.0	0.325782879262	0.154174158661	0.346756198687	0.292315196608	0.33723018473	0.409161122767	0.541322967902	0.310197798916	0.329740114025	0.329791592612	0.401633422143	0.354978522986	0.128314263584	0.586070880069	0.473681512484	0.277925008524	0.302951412963	0.203177707786	0.427419123832	0.0768295427104	0.245677482517	0.105481247492	0.0911042904803	0.221091628162	0.43071970842	0.376129358232	0.0862146951132	0.323691616277	0.406127337411	0.244814509724	0.362457138933	0.414938267951	0.0824861165035	0.155929487497	0.0598358404796	0.140002976602	0.149552212402	0.151768369445	0.416967117663	0.292901064028	0.126436246513	0.0994771488294	0.232907423534
SC7289	0.252357786074	0.369089262337	0.143334463548	0.424303503686	0.130424842491	0.297578900362	0.314350108165	0.410478841699	0.313824240815	0.309675869188	0.133921256545	0.325782879262	0.0	0.264878853994	0.071799226454	0.273286125273	0.105074546563	0.204758370694	0.254080436786	0.147143693218	0.141149911584	0.100391292854	0.0922526771539	0.106703592904	0.292284991846	0.286776572377	0.171105922409	0.235735559863	0.115939488653	0.194660184426	0.181574510609	0.346966117938	0.150837509126	0.333598664357	0.348352058399	0.19581307285	0.154308691768	0.163529411489	0.292976587207	0.0811078208337	0.105071636554	0.17659133485	0.117811844951	0.21980864228	0.384844997648	0.294025735065	0.339607745221	0.349031536371	0.308490288382	0.43255720745	0.20157843453	0.146806857636	0.284790532696	0.369643385961	0.243679916221
SC7480	0.432867513334	0.144501885791	0.259275460151	0.544982014913	0.315085768915	0.498701881848	0.177613985148	0.235550828893	0.523559688562	0.150929052851	0.365448652287	0.154174158661	0.264878853994	0.0	0.298374957761	0.275053873848	0.238537161883	0.342418382979	0.490747804689	0.20070465965	0.264817783299	0.282677619673	0.344168180203	0.281200180743	0.0695768455003	0.527509182388	0.421694364018	0.244300555318	0.209609837155	0.178889841667	0.376762180443	0.180473624369	0.202104917608	0.152174767794	0.153530419472	0.125154044904	0.350110668681	0.236651978413	0.155976875505	0.216732852232	0.352844349268	0.119627606352	0.279543213758	0.360103570779	0.217592447193	0.0621071747983	0.180697725081	0.178926095463	0.173200535717	0.270129980437	0.338122101385	0.237799798919	0.0880786342281	0.232628769393	0.211232365297
SC7290	0.2525684734	0.382424035134	0.135739173346	0.408077031731	0.13643786459	0.302343389258	0.350315220388	0.445228487584	0.31587339703	0.327818719793	0.138120912823	0.346756198687	0.071799226454	0.298374957761	0.0	0.319303574439	0.119241396812	0.176364848352	0.254763881589	0.176639404493	0.122404808482	0.11300979147	0.0885110227204	0.135113621348	0.321572454749	0.296830851625	0.190390319524	0.236804499683	0.153172945276	0.206799852843	0.181984234041	0.378264914634	0.147219776659	0.368420521859	0.379587098244	0.230346511936	0.164226707396	0.15908886938	0.335751686234	0.123214846372	0.110580160875	0.199137402082	0.122947191201	0.216386520855	0.417053726691	0.324952574965	0.371124682781	0.39807731895	0.356203051919	0.463222069404	0.198723597816	0.198257507875	0.322005416686	0.412455819524	0.289647830974
SC7485	0.486577653419	0.387338339033	0.221817508978	0.647888297993	0.25727019073	0.492355565452	0.256883184152	0.26629480515	0.576217667431	0.307402433616	0.375499940781	0.292315196608	0.273286125273	0.275053873848	0.319303574439	0.0	0.339678398674	0.38618247015	0.44868640584	0.282878915315	0.307385991639	0.3274286781	0.363580755373	0.351820023809	0.271693798527	0.527482910228	0.401256154098	0.1951548213	0.291696708459	0.244434199963	0.417156500119	0.296567654374	0.249083465681	0.33207200773	0.320732265402	0.267106817077	0.328480000104	0.288642504492	0.237298881206	0.277762839451	0.334901808801	0.277571981588	0.253447774431	0.406996930678	0.30084743613	0.259632158187	0.311707871799	0.324079260936	0.159436045527	0.356550507706	0.359030663151	0.231705222414	0.255913435428	0.318943764749	0.108424737888
SC7277	0.254852617641	0.289932486747	0.181652811991	0.357405233163	0.188895902935	0.34715039621	0.36559568403	0.454832853939	0.354157488391	0.325890628173	0.208227295952	0.33723018473	0.105074546563	0.238537161883	0.119241396812	0.339678398674	0.0	0.173121324454	0.31798105281	0.109251668134	0.155761203805	0.0920095905367	0.161031202254	0.0618117410097	0.270645802567	0.349629381105	0.251161099166	0.215180743045	0.104432722044	0.198453818868	0.206898920393	0.332314765238	0.200170159256	0.357447051693	0.340911785338	0.183725513922	0.215521871746	0.152106228897	0.346327035182	0.102111827666	0.17322624887	0.131093661075	0.172678867954	0.205583959424	0.400758832626	0.264058470002	0.351897651526	0.403125337557	0.372571089541	0.44015097829	0.232476764166	0.21114830004	0.299504786436	0.427744076991	0.30431042769
SC7283	0.197464442856	0.420671940171	0.16737166463	0.337235509741	0.192341166976	0.280344675222	0.434632982344	0.525512943644	0.308642913752	0.40352131511	0.139213042886	0.409161122767	0.204758370694	0.342418382979	0.176364848352	0.38618247015	0.173121324454	0.0	0.318364216927	0.226338291208	0.141948646993	0.191567432356	0.159154751131	0.194848963914	0.354821305832	0.303629920753	0.250788675842	0.265341180591	0.170522323583	0.250201423299	0.151644086953	0.43433704777	0.286922690733	0.435945030671	0.39410055025	0.263402911676	0.157534470403	0.1887060593	0.424969082087	0.199597199471	0.149477943972	0.229092547003	0.16997411717	0.241007688554	0.480591377088	0.353026389016	0.440025208728	0.480855367899	0.421460141935	0.534215015868	0.141593614156	0.325671375756	0.378426976518	0.491735010455	0.371740017589
SC7294	0.263717045044	0.57320548817	0.326290627877	0.273057450057	0.220291339036	0.151907604361	0.542697689417	0.639700255697	0.215971405428	0.521521063041	0.219183976778	0.541322967902	0.254080436786	0.490747804689	0.254763881589	0.44868640584	0.31798105281	0.318364216927	0.0	0.352432466151	0.312588545941	0.281262152448	0.204421120108	0.274773093668	0.509478083614	0.237231387019	0.0909154588555	0.436566887194	0.351692541226	0.396462545771	0.267168197493	0.572414285582	0.346205301721	0.555993970716	0.571172411683	0.416718690763	0.254688197548	0.317815094313	0.506190935636	0.296133801883	0.202312194125	0.395630744422	0.268441882511	0.229981363864	0.612271546956	0.514286316684	0.566470995018	0.572979755338	0.485383859806	0.657814561919	0.333099412863	0.287441007646	0.508742867069	0.599592778163	0.430419349252
SC7481	0.286095717654	0.30127111862	0.184317425498	0.420573309933	0.19148084614	0.35356726745	0.340839891029	0.395445101332	0.401713818443	0.305611627318	0.24384548364	0.310197798916	0.147143693218	0.20070465965	0.176639404493	0.282878915315	0.109251668134	0.226338291208	0.352432466151	0.0	0.180250707527	0.11083848361	0.211587544507	0.112950324356	0.208954590504	0.400153906645	0.295722067659	0.177951632805	0.118668589484	0.177614405148	0.238836921975	0.328983849344	0.188937076777	0.320994788003	0.307366210005	0.148943892966	0.22435820331	0.153520959672	0.325748445658	0.113668419946	0.223189541078	0.127260940364	0.192868269813	0.213641727822	0.379315829387	0.208938179463	0.337597711867	0.338427043596	0.326464180426	0.42390133125	0.246016448108	0.192912737661	0.235827209226	0.396077560505	0.24305101582
