Taxon	JaxB6.1	JaxB6.2	GMNOD.1	GMNOD.2	GMNOD.3	GMNOD.4	GMNOD.5	GMNOD.6	GMNOD.11	GMNOD.12	GMNOD.13	GMNOD.14	GmB6.10	GmB6.11	GmB6.12	GmB6.13	GmB6.14	GmB6.15	GmB6.16	GmB6.17	GmB6.18	GmB6.20	GmB6.21	GmB6.22	GmB6.23	GmB6.24	GmB6.25	GmB6.26
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	0.0	0.0	0.0	5.0	1.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	0.0	0.0	1.0	2.0	1.0	1.0	5.0	3.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	791.0	424.0	480.0	244.0	35.0	396.0	1344.0	422.0	11.0	55.0	384.0	12.0	1440.0	562.0	2111.0	2049.0	669.0	388.0	1389.0	1672.0	1441.0	943.0	1231.0	1148.0	775.0	1026.0	841.0	672.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae	1468.0	483.0	24.0	862.0	250.0	634.0	1399.0	583.0	142.0	0.0	24.0	4.0	1544.0	767.0	2512.0	2598.0	2258.0	191.0	1562.0	714.0	609.0	1524.0	2419.0	1643.0	904.0	659.0	1196.0	748.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other	61.0	50.0	27.0	37.0	23.0	31.0	28.0	43.0	36.0	27.0	18.0	17.0	66.0	29.0	177.0	107.0	96.0	69.0	187.0	305.0	110.0	54.0	122.0	61.0	49.0	48.0	66.0	34.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__	13883.0	14427.0	15573.0	10707.0	11654.0	7992.0	3635.0	8467.0	16749.0	8921.0	13526.0	11329.0	20728.0	12415.0	33954.0	22873.0	24388.0	29065.0	73153.0	139127.0	40359.0	22808.0	35996.0	27999.0	14645.0	10095.0	12027.0	8757.0
